State,Regular Gas Price
Alaska,$3.348
Alabama,$2.809
Arkansas,$2.802
Arizona,$3.272
California,$4.607
Colorado,$2.996
Connecticut,$3.085
District of Columbia,$3.260
Delaware,$3.083
Florida,$3.171
Georgia,$2.949
Hawaii,$4.551
Iowa,$2.979
Idaho,$3.192
Illinois,$3.258
Indiana,$2.946
Kansas,$2.827
Kentucky,$2.820
Louisiana,$2.770
Massachusetts,$3.030
Maryland,$3.198
Maine,$3.075
Michigan,$3.099
Minnesota,$3.030
Missouri,$2.843
Mississippi,$2.677
Montana,$3.027
North Carolina,$2.893
North Dakota,$2.977
Nebraska,$2.947
New Hampshire,$2.972
New Jersey,$3.045
New Mexico,$2.941
Nevada,$3.753
New York,$3.177
Ohio,$3.039
Oklahoma,$2.764
Oregon,$3.667
Pennsylvania,$3.360
Rhode Island,$3.004
South Carolina,$2.858
South Dakota,$2.964
Tennessee,$2.761
Texas,$2.713
Utah,$3.056
Virginia,$3.050
Vermont,$3.141
Washington,$4.036
Wisconsin,$2.935
West Virginia,$2.975
Wyoming,$2.986
